ApparentElevation,AttenuationdB,density
0,51.4238194214895,12.5
0.2,43.04700405849227,12.5
0.4,36.28072659843172,12.5
0.6000000000000001,31.135328257581314,12.5
0.8,27.13951264033211,12.5
1,23.969532131632,12.5
1.2,21.40686086939884,12.5
1.4,19.300829198249296,12.5
1.5999999999999999,17.54504648212183,12.5
1.7999999999999998,16.062696635933396,12.5
1.9999999999999998,14.797188919420714,12.5
2.1999999999999997,13.706071324920423,12.5
2.4,12.756975368580601,12.5
2.6,11.924855662014883,12.5
2.8000000000000003,11.190073510332645,12.5
3.0000000000000004,10.53704232580895,12.5
3.2000000000000006,9.953254277484044,12.5
3.400000000000001,9.428570259445864,12.5
3.600000000000001,8.954694718933691,12.5
3.800000000000001,8.524782226053635,12.5
4.000000000000001,8.133139241511572,12.5
4.200000000000001,7.774995564834958,12.5
4.400000000000001,7.446327397434814,12.5
4.600000000000001,7.1437190652309015,12.5
4.800000000000002,6.864253998510044,12.5
5.000000000000002,6.605428068572685,12.5
5.200000000000002,6.365080163579831,12.5
5.400000000000002,6.141336170840648,12.5
5.600000000000002,5.932563468428828,12.5
5.8000000000000025,5.737333717225385,12.5
6.000000000000003,5.554392255325603,12.5
6.200000000000003,5.382632779415745,12.5
6.400000000000003,5.22107628659792,12.5
6.600000000000003,5.068853470129138,12.5
6.800000000000003,4.925189931128904,12.5
7.0000000000000036,4.789393698574999,12.5
7.200000000000004,4.6608446511546795,12.5
7.400000000000004,4.5389855137578445,12.5
7.600000000000004,4.42331416377531,12.5
7.800000000000004,4.313377031744495,12.5
8.000000000000004,4.20876342020846,12.5
8.200000000000003,4.109100596122966,12.5
8.400000000000002,4.014049537462136,12.5
8.600000000000001,3.92330123515178,12.5
8.8,3.8365734680579937,12.5
9,3.7536079823528468,12.5
9.2,3.674168017641936,12.5
9.399999999999999,3.5980361314183806,12.5
9.599999999999998,3.5250122809310565,12.5
9.799999999999997,3.454912127816136,12.5
9.999999999999996,3.387565536026875,12.5
10.199999999999996,3.3228152379876623,12.5
10.399999999999995,3.2605156474925416,12.5
10.599999999999994,3.200531800932699,12.5
10.799999999999994,3.1427384110608925,12.5
10.999999999999993,3.0870190196180505,12.5
11.199999999999992,3.0332652370548683,12.5
11.399999999999991,2.981376059106412,12.5
11.59999999999999,2.931257251361212,12.5
11.79999999999999,2.8828207940899038,12.5
11.99999999999999,2.835984380588263,12.5
12.199999999999989,2.7906709631277757,12.5
12.399999999999988,2.7468083413692312,12.5
12.599999999999987,2.7043287886626666,12.5
12.799999999999986,2.6631687122712613,12.5
12.999999999999986,2.6232683439740025,12.5
13.199999999999985,2.5845714579430394,12.5
13.399999999999984,2.547025113141562,12.5
13.599999999999984,2.510579417800357,12.5
13.799999999999983,2.4751873138022606,12.5
13.999999999999982,2.4408043790381697,12.5
14.199999999999982,2.4073886460358027,12.5
14.39999999999998,2.3749004352970124,12.5
14.59999999999998,2.343302202004818,12.5
14.79999999999998,2.312558394839704,12.5
14.999999999999979,2.2826353258324033,12.5
15.199999999999978,2.2535010502428827,12.5
15.399999999999977,2.2251252555945924,12.5
15.599999999999977,2.1974791590446006,12.5
15.799999999999976,2.1705354123903913,12.5
15.999999999999975,2.144268014039028,12.5
16.199999999999974,2.1186522273750104,12.5
16.399999999999974,2.09366450496746,12.5
16.599999999999973,2.069282418155059,12.5
16.799999999999972,2.0454845915657565,12.5
16.99999999999997,2.0222506421608877,12.5
17.19999999999997,1.9995611224709955,12.5
17.39999999999997,1.9773974676535617,12.5
17.59999999999997,1.9557419461181758,12.5
17.79999999999997,1.934577613404368,12.5
17.999999999999968,1.9138882690977042,12.5
18.199999999999967,1.8936584165281187,12.5
18.399999999999967,1.873873225057776,12.5
18.599999999999966,1.854518494768244,12.5
18.799999999999965,1.8355806233534506,12.5
18.999999999999964,1.8170465751007843,12.5
19.199999999999964,1.7989038517292126,12.5
19.399999999999963,1.7811404650624978,12.5
19.599999999999962,1.76374491131822,12.5
19.79999999999996,1.746706146937085,12.5
19.99999999999996,1.7300135658505371,12.5
20.19999999999996,1.7136569780754396,12.5
20.39999999999996,1.697626589548515,12.5
20.59999999999996,1.6819129831285853,12.5
20.799999999999958,1.6665071006695789,12.5
20.999999999999957,1.6514002261171334,12.5
21.199999999999957,1.6365839695391164,12.5
21.399999999999956,1.6220502520476228,12.5
21.599999999999955,1.6077912915469932,12.5
21.799999999999955,1.5937995892560928,12.5
21.999999999999954,1.5800679169617804,12.5
22.199999999999953,1.5665893049402073,12.5
22.399999999999952,1.5533570305406124,12.5
22.59999999999995,1.5403646073465644,12.5
22.79999999999995,1.5276057749162615,12.5
22.99999999999995,1.5150744890407573,12.5
23.19999999999995,1.502764912513168,12.5
23.39999999999995,1.4906714063573288,12.5
23.599999999999948,1.478788521504355,12.5
23.799999999999947,1.4671109908740874,12.5
23.999999999999947,1.455633721865364,12.5
24.199999999999946,1.4443517891988287,12.5
24.399999999999945,1.4332604281188979,12.5
24.599999999999945,1.4223550279184032,12.5
24.799999999999944,1.4116311257776928,12.5
24.999999999999943,1.4010844008932875,12.5
25.199999999999942,1.390710668887329,12.5
25.39999999999994,1.3805058764785376,12.5
25.59999999999994,1.3704660963956188,12.5
25.79999999999994,1.3605875225306405,12.5
25.99999999999994,1.350866465310583,12.5
26.19999999999994,1.341299347287207,12.5
26.399999999999938,1.3318826989140922,12.5
26.599999999999937,1.3226131545192528,12.5
26.799999999999937,1.3134874484566885,12.5
26.999999999999936,1.3045024114287287,12.5
27.199999999999935,1.295654966963416,12.5
